Time,id,bedingung,raumlaenge,schaetzung,distance,difference,A,B,C,D,E,F,G
12.08.2021 14:11:09,1,A,1,"25,00","21,78","3,22",6,6,7,5,3,6,nicht bemerkt
12.08.2021 14:19:52,1,B,2,"50,00","30,53","19,47",4,2,2,5,2,5,
12.08.2021 14:31:56,1,C,3,"40,00","50,69","10,69",3,1,2,5,1,2,
13.08.2021 14:32:37,2,C,2,"23,00","33,16","10,16",6,5,5,5,3,6,Gab leichte Bugs
13.08.2021 14:46:05,2,A,3,"32,00","50,44","18,44",7,7,5,2,6,7,Drehen des Bildschirms während Aufgabe
13.08.2021 14:53:23,2,B,1,"12,00","13,80","1,8",3,3,2,6,2,3,zoom effect while walking
13.08.2021 15:34:37,3,B,3,"10,00","42,89","32,89",5,2,2,6,1,6,
13.08.2021 15:40:17,3,C,1,"5,00","14,49","9,49",5,2,1,7,2,2,
13.08.2021 15:47:42,3,A,2,"10,00","33,69","23,69",7,3,5,4,4,6,
16.08.2021 19:19:04,4,A,1,"11,00","19,06","8,06",6,7,6,3,3,3,Having a ceiling makes a huge difference on the immersion
17.08.2021 02:11:29,4,B,2,"29,00","35,02","6,02",5,3,2,5,1,3,
17.08.2021 02:25:40,4,C,3,"44,00","49,44","5,44",5,5,5,5,3,5,
18.08.2021 16:28:58,5,C,2,"16,00","44,56","28,56",5,6,6,6,4,5,
18.08.2021 16:42:59,5,A,3,"18,00","53,60","35,6",6,6,6,7,4,6,
18.08.2021 17:05:45,5,B,1,"10,00","23,87","13,87",7,7,6,6,6,6,
18.08.2021 17:36:54,6,B,3,"10,00","60,63","50,63",7,5,6,7,2,7,richtig neue erfahrung
18.08.2021 18:00:58,6,C,1,"5,00","27,11","22,11",5,6,5,5,4,6,war schwierig mit der orientierung
18.08.2021 18:15:28,6,A,2,"5,00","37,78","32,78",6,7,7,5,6,7,mit der orientierung war viel besser
18.08.2021 20:03:09,7,A,1,"13,00","18,21","5,21",3,2,4,4,2,1,
18.08.2021 20:10:39,7,B,2,"32,00","31,10","0,9",2,1,2,2,1,1,
18.08.2021 20:19:02,7,C,3,"40,00","48,34","8,34",2,1,1,2,1,1,
19.08.2021 16:44:51,8,C,2,"14,00","41,29","27,29",5,3,5,6,2,2,
19.08.2021 16:56:51,8,A,3,"35,00","52,46","17,46",2,2,5,6,4,2,
19.08.2021 17:03:11,8,B,1,"20,00","19,30","0,7",1,1,1,7,1,1,
19.08.2021 22:49:21,9,B,3,"43,00","60,44","17,44",2,1,4,4,1,3,No
19.08.2021 22:57:26,9,C,1,"13,00","15,42","2,42",3,1,2,4,1,2,Hell no
19.08.2021 23:06:54,9,A,2,"32,00","39,26","7,26",5,3,4,5,2,5,Fucking hell no
20.08.2021 00:00:57,10,A,1,"3,00","18,69","15,69",5,4,7,4,6,5,
20.08.2021 00:12:27,10,B,2,"1,50","36,24","34,74",2,2,1,2,2,1,
20.08.2021 00:26:34,10,C,3,"10,00","50,31","40,31",4,2,2,5,4,3,
