dateTime,distanceWalked,environment,locomotion,rooms,vp
12.08.21 14:06,21.78,Android,Redirection,3,1
12.08.21 14:16,30.53,Android,Joystick,6,1
12.08.21 14:26,50.69,Android,Teleport,9,1
13.08.21 14:26,33.16,Android,Teleport,6,2
13.08.21 14:41,50.44,Android,Redirection,9,2
13.08.21 14:48,13.8,Android,Joystick,3,2
13.08.21 15:29,42.89,Android,Joystick,9,3
13.08.21 15:37,14.49,Android,Teleport,3,3
13.08.21 15:45,33.69,Android,Redirection,6,3
16.08.21 19:14,19.06,Android,Redirection,3,4
17.08.21 02:08,35.02,Android,Joystick,6,4
17.08.21 02:23,49.44,Android,Teleport,9,4
18.08.21 16:22,44.56,Android,Teleport,6,5
18.08.21 16:39,53.6,Android,Redirection,9,5
18.08.21 17:01,23.87,Android,Joystick,3,5
18.08.21 17:31,60.63,Android,Joystick,9,6
18.08.21 17:55,27.11,Android,Teleport,3,6
18.08.21 18:11,37.78,Android,Redirection,6,6
18.08.21 19:59,18.21,Android,Redirection,3,7
18.08.21 20:08,31.1,Android,Joystick,6,7
18.08.21 20:17,48.34,Android,Teleport,9,7
19.08.21 16:40,41.29,Android,Teleport,6,8
19.08.21 16:53,52.46,Android,Redirection,9,8
19.08.21 17:01,19.3,Android,Joystick,3,8
19.08.21 22:44,60.44,Android,Joystick,9,9
19.08.21 22:54,15.42,Android,Teleport,3,9
19.08.21 23:05,39.26,Android,Redirection,6,9
19.08.21 23:55,18.69,Android,Redirection,3,10
20.08.21 00:08,36.24,Android,Joystick,6,10
20.08.21 00:21,50.31,Android,Teleport,9,10
